VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Mining,_Logging,_and_Construction:_Mining,_Logging_and_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Mining, Logging, and Construction: Mining, Logging and Construction, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Mining, Logging, and Construction: Mining, Logging and Construction",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_All_Employees,_Wholesale_Trade:_Apparel,_Piece_Goods,_and_Notions_Merchant_Wholesalers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Wholesale Trade: Apparel, Piece Goods, and Notions Merchant Wholesalers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Wholesale Trade: Apparel, Piece Goods, and Notions Merchant Wholesalers",
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Specialized_Freight_Trucking,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Transportation and Utilities: Specialized Freight Trucking, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Specialized Freight Trucking,
"State_and_Metro_Employment:_All_Employees,_Other_Services:_Automotive_Repair_and_Maintenance,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Other Services: Automotive Repair and Maintenance, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Other Services: Automotive Repair and Maintenance,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Performing_Arts_Companies,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Performing Arts Companies, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Performing Arts Companies,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Non-Durable_Goods,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Non-Durable Goods, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Non-Durable Goods,
"State_and_Metro_Employment:_All_Employees,_Government:_Federal_Government_excluding_Department_of_Defense,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Government: Federal Government excluding Department of Defense, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Government: Federal Government excluding Department of Defense,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Telephone_Call_Centers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Telephone Call Centers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Telephone Call Centers,
"State_and_Metro_Employment:_All_Employees,_Other_Services:_Grantmaking_and_Giving_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Other Services: Grantmaking and Giving Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Other Services: Grantmaking and Giving Services,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Accounting,_Tax_Preparation,_Bookkeeping,_and_Payroll_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Accounting, Tax Preparation, Bookkeeping, and Payroll Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Professional and Business Services: Accounting, Tax Preparation, Bookkeeping, and Payroll Services",
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Full-Service_Restaurants,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Full-Service Restaurants, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Full-Service Restaurants,
"JOLTS:_Hires,_Federal,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Federal, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Federal,All size classes
"JOLTS:_Job_openings,_Durable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Durable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Job openings,Durable goods manufacturing,All size classes
"JOLTS:_Other_separations,_Nondurable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Nondurable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Nondurable goods manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, State and local government education, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,State and local government education,All size classes
"JOLTS:_Total_separations,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Educational services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Educational services,All size classes
"JOLTS:_Quits,_Information,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Information, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Information,All size classes
"JOLTS:_Total_separations,_Finance_and_insurance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Finance and insurance, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Finance and insurance,All size classes
"JOLTS:_Quits,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Other services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Other services,All size classes
"JOLTS:_Job_openings,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Health care and social assistance, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Health care and social assistance,All size classes
"JOLTS:_Job_openings,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, State and local, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,State and local,All size classes
"JOLTS:_Quits,_Construction,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Construction, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Construction,All size classes
"JOLTS:_Layoffs_and_discharges,_Total_private,_50_to_249_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Total private, 50 to 249 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,Total private,50 to 249 employees
"JOLTS:_Layoffs_and_discharges,_Total_private,_250_to_999_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Total private, 250 to 999 employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,Total private,250 to 999 employees
"JOLTS:_Other_separations,_Retail_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Retail trade, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Retail trade,All size classes
"JOLTS:_Job_openings,_Trade,_transportation,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Trade, transportation, and utilities, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Job openings,"Trade, transportation, and utilities",All size classes
"JOLTS:_Hires,_Total_private,_1,000_to_4,999_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Total private, 1,000 to 4,999 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,Total private,"1,000 to 4,999 employees"
"JOLTS:_Hires,_Total_private,_10_to_49_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Total private, 10 to 49 employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Total private,10 to 49 employees
"JOLTS:_Layoffs_and_discharges,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Mining and logging, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,Mining and logging,All size classes
"JOLTS:_Other_separations,_Arts,_entertainment,_and_recreation,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Arts, entertainment, and recreation, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Job_openings,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, State and local government, excluding education, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Job openings,"State and local government, excluding education",All size classes
"JOLTS:_Total_separations,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, State and local, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,State and local,All size classes
"JOLTS:_Hires,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, State and local government education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,State and local government education,All size classes
"JOLTS:_Hires,_State_and_local,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, State and local, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,State and local,All size classes
"JOLTS:_Quits,_Accommodation_and_food_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Accommodation and food services, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Accommodation and food services,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, State and local, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,State and local,All size classes
"JOLTS:_Job_openings,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Educational services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Educational services,All size classes
"JOLTS:_Quits,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Total private, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Total private,All size classes
"JOLTS:_Layoffs_and_discharges,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,Manufacturing,All size classes
"JOLTS:_Other_separations,_Wholesale_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Wholesale trade, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Wholesale trade,All size classes
"JOLTS:_Other_separations,_Durable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Other separations, Durable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Other separations,Durable goods manufacturing,All size classes
